region speed urban rural population longitude latitude area netizen_rate urban_netizen rural_netizen total_netizen
Lebanon 7.91 5398 695 6094 35.862285 33.854721 10230 84.1 4539.718 584.4949999999999 5125.054
Zimbabwe 7.85 5448 11466 16913 29.154857 -19.015438 386850 29.29856595 1596.1858729560001 3359.373571827 4955.2664591235
Somalia 7.71 6827 8355 15182 46.199616 5.152149 627340 2.004048698 136.81640461246002 167.4382687179 304.25467333036
Liberia 7.02 2483 2371 4854 -9.429499 6.428055 96320 25.6 635.648 606.9760000000001 1242.624
Botswana 7.00 1620 713 2333 24.684866 -22.328474 566730 64 1036.8 456.32 1493.12
Djibouti 6.60 756 216 971 42.590275 11.825138 23180 59 446.04 127.44 572.89
Mozambique 6.56 10987 19542 30529 35.529562 -18.665695 786380 16.5 1812.855 3224.43 5037.285
Gambia 6.10 1326 838 2164 -15.310139 13.443182 10120 36.5 483.99 305.87 789.86
Swaziland 5.62 331 1060 1391 31.465866 -26.522503 17364 28.574 94.57994000000001 302.8844 397.46434
Sudan 5.23 14380 27131 41512 30.217636 12.862807 1849233.75 28.4 4083.92 7705.203999999999 11789.408000000001
Niger 5.08 3665 18647 22311 8.081666 17.607789 1266700 10.22431156 374.721018674 1906.5273765932 2281.1461521516003
Burundi 4.90 1462 9755 11216 29.918886 -3.373056 25680 9.4 137.428 916.97 1054.304
Timor-Leste 4.66 405 919 1324 125.727539 -8.874217 14870 29.1 117.855 267.42900000000003 385.284
Yemen 4.66 10595 18320 28915 48.516388 15.552727 527970 26.71835477 2830.8096878815 4894.802593864 7725.6122817455
Syrian_Arab_Republic 3.83 9903 8381 18284 38.996815 34.802075 183630 35.78 3543.2934000000005 2998.7218 6542.0152
Turkmenistan 3.83 3019 2832 5851 59.556278 38.969719 469930 21.25099741 641.5676118079 601.8282466512001 1243.3958584591
Afghanistan 2.23 9273 27100 36373 67.709953 33.93911 652860 18.4 1706.2319999999997 4986.4 6692.632
Cuba 1.84 8851 2638 11489 -77.781167 21.521757 103800 71.11907507 6294.7493344457 1876.1212003465998 8170.870534792299
