theta,success,failure,failRate,totLatency
68,8.85687e+11,1.30576e+10,0.0145287,1.19965e-06
69,7.97449e+11,6.7949e+09,0.0084488,1.19941e-06
70,1.0094e+12,4.60688e+09,0.00454323,1.19955e-06
71,8.03688e+11,8.67956e+09,0.0106843,1.20228e-06
72,8.42468e+11,7.93308e+09,0.00932864,1.20383e-06
73,8.14451e+11,2.87735e+09,0.00352043,1.20391e-06
74,9.85081e+11,1.4995e+10,0.0149938,1.20366e-06
75,9.91307e+11,1.75906e+10,0.0174355,1.19867e-06
76,8.02988e+11,5.55525e+09,0.00687069,1.20021e-06
77,9.99943e+11,6.27558e+09,0.00623679,1.20038e-06
78,9.03659e+11,9.85715e+09,0.0107903,1.19237e-06
79,9.51901e+11,1.07422e+10,0.0111591,1.19222e-06
80,1.0145e+12,4.07459e+09,0.00400027,1.19716e-06
81,1.00102e+12,1.16468e+10,0.0115011,1.19728e-06
82,8.08895e+11,9.12536e+09,0.0111554,1.18943e-06
83,1.00597e+12,1.25208e+10,0.0122935,1.18979e-06
84,9.97617e+11,5.2741e+09,0.0052589,1.1989e-06
85,9.04336e+11,4.66905e+09,0.00513644,1.19864e-06
86,1.00011e+12,1.25093e+10,0.0123534,1.19512e-06
87,1.00828e+12,1.25993e+10,0.0123417,1.19563e-06
88,9.10378e+11,6.7238e+09,0.00733157,1.20191e-06
89,1.00615e+12,2.26449e+09,0.00224558,1.20253e-06
